measure1,measure2,slope,pvalue
hap_entertainment,health_rank,0.692889383,6.75E-15
health_rank,hap_entertainment,0.668457206,6.75E-15
greenspace_rank,health_rank,0.574156849,8.27E-10
hap_entertainment,income_employment,0.572915606,1.12E-09
health_rank,income_employment,0.57185026,5.23E-10
income_employment,health_rank,0.571491884,5.23E-10
health_rank,greenspace_rank,0.558381617,8.27E-10
income_employment,hap_entertainment,0.552367476,1.12E-09
community_environment,health_rank,0.507183636,1.91E-07
health_rank,community_environment,0.478691786,1.91E-07
community_environment,hap_entertainment,0.394299038,6.05E-05
hap_entertainment,community_environment,0.385750731,6.05E-05
hap_entertainment,greenspace_rank,0.376317036,0.00012204
greenspace_rank,hap_entertainment,0.373304323,0.00012204
community_environment,income_employment,0.364827898,0.000298334
income_employment,community_environment,0.344117317,0.000298334
greenspace_rank,income_employment,0.338554117,0.000689904
income_employment,greenspace_rank,0.329045842,0.000689904
community_environment,weather,0.215443777,0.03203444
weather,community_environment,0.213742949,0.03203444
community_environment,greenspace_rank,0.203273238,0.045757977
greenspace_rank,community_environment,0.197274243,0.045757977
weather,income_employment,0.122429382,0.236815374
income_employment,weather,0.11639821,0.236815374
weather,hap_entertainment,0.098821716,0.331380594
hap_entertainment,weather,0.097448596,0.331380594
community_environment,costs,0.022477578,0.824975832
costs,community_environment,0.022310231,0.824975832
greenspace_rank,weather,-0.039278504,0.694838482
weather,greenspace_rank,-0.040153426,0.694838482
health_rank,weather,-0.044190596,0.654440601
weather,health_rank,-0.046451203,0.654440601
income_employment,costs,-0.098155623,0.318876384
costs,income_employment,-0.103288329,0.318876384
weather,costs,-0.164803824,0.101230087
costs,weather,-0.164878488,0.101230087
health_rank,costs,-0.204160259,0.036568285
costs,health_rank,-0.21470147,0.036568285
greenspace_rank,costs,-0.246304725,0.012450951
costs,greenspace_rank,-0.251905191,0.012450951
hap_entertainment,costs,-0.387124561,6.07E-05
costs,hap_entertainment,-0.392757276,6.07E-05
